answers,date,tags,title,user,votes
7,2011-08-25T18:48:00,Baptism,Is there any sense in being baptized as an adult after being baptized as an infant?,El'endia Starman,20
4,2011-08-25T19:32:00,"Nature Of God,Worship",Does God need our praise and glory?,a_hardin,20
3,2012-02-08T22:17:00,"Genesis,Flood Of Noah",How did Noah preserve fresh water fish?,rpeg,20
3,2012-04-14T00:03:00,"Bible,Exegesis,Art",Is Knuth's 3:16 project unique?,James T,20
6,2012-04-15T13:54:00,"Paul Apostle,Peter","Why does Paul call Peter ""Cephas"" in his writings?",Benny,20
3,2012-04-24T18:31:00,"Catholicism,Eastern Orthodox,Liturgy",When did Arabic enter into usage as a liturgical language among Christians?,JSBձոգչ,20
6,2011-08-23T08:47:00,"Bible,Protestantism,Bible Reading",In what order should the books of the (Protestant) Bible be read?,StackExchange saddens dancek,20
1,2016-05-30T16:16:00,"Protestantism,Baptism,Communion,Sacraments,Salvation Army",Why does the Salvation Army not administer the sacraments of baptism and the Lord's Supper?,Nathaniel is protesting,20
2,2011-08-25T10:33:00,"Exegesis,Moses,2 Timothy",Who were Jannes and Jambres?,Reinstate Monica - Goodbye SE,20
3,2011-12-30T18:30:00,"Culture,Missions,Korea",Why is Christianity so popular in (South) Korea?,Affable Geek,20
2,2012-01-24T07:12:00,"Church History,Old Earth Creation,Origin",How old is old earth creationism?,hammar,20
12,2017-05-15T15:57:00,"Life Of Jesus,Virgin Mary,David,Genealogy,Joseph Husband Of Mary",How could Jesus be descended from the royal line of David if he was born of the Virgin Birth?,Tom Au,20
3,2012-05-20T20:14:00,Lds,Where is the sermon in a Mormon church service?,Affable Geek,20
6,2011-08-27T01:34:00,"Bible Translation,Gospels,Kjv,Name Of Jesus",Why does the (N)KJV put Jesus' name in all caps in Matthew 1:21 and Luke 1:31?,dleyva3,20
15,2020-08-15T07:58:00,"Faith,Resurrection,Thomas Apostle",Why does Jesus value leap of faith more than those who rely on direct evidence?,RandomUser,20
9,2011-09-23T17:12:00,"Communion,Chronology,Passover",Was the Last Supper not the Passover meal?,a_hardin,20
3,2011-09-25T18:25:00,"Bible,Exegesis,Literalism,Inerrancy",By what mechanism could the Bible be inerrant?,Rex Kerr,20
5,2014-10-18T18:19:00,"Lds,Protestantism,Christology,Satan",Do Protestants believe Jesus and Satan are brothers?,Paul Draper,20
3,2011-09-27T02:55:00,"Catholicism,Church History,Saint,Canonization",Have any real people been de-canonized?,James T,20
6,2015-03-17T02:38:00,"Gospel Of John,Bible Translation,Jehovahs Witnesses,Nwt",What support is there for the Jehovah’s Witness translation of John 1:1?,Dick Harfield,20
2,2011-11-05T19:34:00,"Martin Luther,Canon",Why was Martin Luther attempting to change the canon?,Richard,20
2,2016-02-06T18:11:00,"Bible,Bible Translation",Why are psalms in the bible printed with funny spacing?,adamdport,20
5,2011-08-25T07:03:00,"Biblical Basis,Heaven,Hell,Place Of The Dead",What is the Bible basis for the idea of a temporary holding place?,El'endia Starman,20
3,2011-08-24T06:55:00,"Biblical Basis,Prayer,Religious Practice,Meditation","According to the Bible, how should Christians meditate?",Benny,20
2,2014-02-05T17:15:00,"Biblical Basis,Genesis,Creation,Words Of Jesus,Ken Ham",What is the support for saying Jesus believed Genesis was a literal account of creation?,msmucker0527,20
8,2011-09-13T18:28:00,"Biblical Basis,Revelation,Origin,Numerology,666",Why is the number 666 considered evil?,Flimzy,20
6,2011-09-15T18:13:00,"Exegesis,Nature Of God,Protestantism,Trinity,Gospels",Is there a hierarchy in the Trinity?,Richard,20
2,2011-09-15T18:32:00,"Nature Of God,Lds,Nature Of Man",What is the Mormon doctrine regarding becoming a god?,Richard,20
4,2011-09-16T22:40:00,"Exegesis,Biblical Basis,Genesis,Creation,Young Earth Creation",What is the case for interpreting the Genesis creation account literally?,Flimzy,20
5,2011-09-18T00:12:00,"Exegesis,Sacrifice,Book Of Judges",Did Jephthah sacrifice his daughter?,StackExchange saddens dancek,20
8,2013-11-11T12:24:00,"History,New Testament,Crucifixion,Civil Government,Thief On The Cross","What crime was committed by the ""thieves"" crucified with Jesus?",Flimzy,20
1,2011-09-08T03:20:00,"Catholicism,Papacy",What is the argument for papal succession?,beatgammit,20
4,2011-09-08T13:53:00,"Lds,Doctrine And Covenants,Polygamy",Why did Mormons stop practicing polygamy?,Richard,20
6,2013-01-26T00:28:00,"Prayer,Faith,Cs Lewis,Intercession",C.S. Lewis's petitionary prayer paradox,Thomas Kemper,20
5,2011-08-31T15:33:00,History,Are Dinosaurs mentioned in the Bible?,capitalaudience.com,20
4,2011-08-31T23:01:00,"Christology,1 Corinthians,Adam,Name Of Jesus","What does it mean that Jesus was the ""second Adam""?",Caleb,20
2,2013-05-30T12:30:00,Symbolism,What is the purpose and meaning of the Christian Flag?,wax eagle,20
6,2011-09-01T21:00:00,Prayer,Is it ok to pray in public?,hammar,20
3,2013-07-29T21:40:00,"Early Church,Liturgy",What is the earliest written surviving liturgy?,John Peyton,20
6,2011-09-02T19:00:00,"Gospel Of Matthew,Gospel Of Luke,Textual Discrepancies,Genealogy,Joseph Husband Of Mary",Who was St. Joseph's Father? The New Testament seems to give two answers,aceinthehole,20
6,2011-09-02T19:15:00,"Textual Discrepancies,Gospel Of Matthew,Acts,Judas Iscariot","Who bought the Field of Blood, Judas or the Priests?",aceinthehole,20
5,2013-08-18T07:48:00,"Angels,Jehovahs Witnesses,Origin,Seventh Day Adventists,Michael",What is the origin of the idea that Michael is Jesus?,djeikyb,20
8,2011-08-24T01:41:00,"Baptism,Denomination Survey,Ecumenism",Do any major denominations refuse to recognize Holy Baptism in other denominations,,20
4,2011-08-23T19:39:00,"Biblical Basis,Nature Of Man,Purpose",Does the Bible give us a purpose to life?,capitalaudience.com,20
4,2011-09-07T12:10:00,Morality,How can things considered bad when done by humans become good when God does them?,vonjd,20
3,2012-07-24T21:25:00,"Jehovahs Witnesses,Church Building",Why do Kingdom Halls have no windows?,Narnian,19
2,2012-08-07T14:55:00,"Catholicism,Communion,Transubstantiation","Does transubstantiation apply to the Last Supper, which occurred prior to the crucifixion?",Narnian,19
5,2012-08-23T06:24:00,"Bible Translation,Jehovahs Witnesses,Nwt",Do Jehovah's Witnesses have their own version of the Bible?,Bijoy Thangaraj,19
3,2012-09-07T14:33:00,"Lds,Symbolism,Cross",What is the reason for the absence of the Cross as a symbol in the LDS Church?,Narnian,19
9,2012-05-07T17:37:00,"Biblical Basis,Baptism,Infants",What is the Biblical basis for infant baptism?,Jim,19
6,2011-08-26T23:56:00,Cursing,"What does the Bible say about ""bad"" words?",Flimzy,19
0,2012-05-22T23:30:00,"Life Of Jesus,Demons,Gospel Of Mark,Messianic Secret,Demon Possession",Why didn't Jesus allow demons to say he was God?,5StringRyan,19
5,2020-12-21T10:04:00,"Gospel Of Matthew,Symbolism,Birth Of Jesus,Hymns",Biblical significance of the gifts given to Jesus,Lesley,19
6,2011-08-27T16:33:00,Miracles,Did the pool of Bethesda have healing powers?,,19
1,2012-07-11T04:25:00,Bible,"How do I track the history of changes to a given verse's actual text? How do I discover it's ""lineage""?",,19
3,2011-08-29T06:19:00,"Biblical Basis,Hell,Souls,Eternal Life",What is the biblical basis for the eternal existence of the lost in hell?,2tim424,19
1,2011-08-29T11:21:00,"Bible Translation,Kjv",What process was used to translate the KJV?,Caleb,19
1,2025-04-23T15:53:00,"Catholicism,Papacy,Papal Election,Cardinal",How are languages managed during the conclave?,WoJ,20
4,2012-11-12T10:13:00,"History,Protestantism,Church Local",When did the one-way monologue sermon first become a normal feature of church assemblies?,Mike,20
5,2011-08-31T08:32:00,"Christmas,Easter,Calendar,Liturgical Calendar",Why is Easter celebrated on a different day every year and Christmas is not?,,20
4,2017-06-23T15:55:00,"Biblical Basis,Trinity,Persons Of The Trinity",What is the Biblical basis for the doctrine of the Trinity consisting of different persons?,Kenny Lau,19
3,2012-02-02T15:39:00,"Biblical Basis,Modalism",What are the Biblical arguments against modalism?,,19
2,2017-09-27T13:53:00,"Catholicism,Morality,Ethics,Animals",What is the Catholic teaching on the use of animals?,Tiany Slowriver,19
4,2018-01-19T16:35:00,"Archaeology,Historical Criticism",Historical figures mentioned in the Bible that sceptics doubted existed but were later confirmed by archaeology,theop12,19
2,2012-02-27T10:00:00,"Church History,Angels,Art,Gender",When did the angel archetype change from masculine to feminine?,Paperjam,19
3,2015-11-24T18:41:00,"Creation,Apologetics,Science,Christian Literature,Existence Of God","Have any major Christian intellectuals responded to Stephen Hawking's ""The Grand Design""?",Scott Deerwester,19
3,2011-11-30T13:31:00,"Nature Of God,Lds","According to LDS (Mormon) teaching, who was the first God who began the eternal progression?",Narnian,19
2,2011-12-16T17:25:00,"Life Of Jesus,Denomination Survey,Japan",Which Christian denominations believe Jesus is buried in Japan?,msh210,19
2,2011-12-21T22:37:00,"Christology,Heresy,Incarnation,Hypostatic Union,Monothelitism",What's so bad about monoergism and monothelitism?,Affable Geek,19
9,2011-08-25T14:54:00,"Sin,Judging Others","Do not Judge others, or do we Judge others?",capitalaudience.com,19
1,2017-04-28T13:29:00,"Church History,Early Church,Augustine,Blessings,Prosperity Gospel","How prominent was ""prosperity theology"" in the early church?",Nathaniel is protesting,19
2,2011-08-26T07:50:00,"Biblical Basis,Baptism,Communion",What is the Biblical basis for withholding communion from believers who are unbaptized?,Flimzy,19
2,2012-03-19T20:21:00,"Terminology,Ark Of The Covenant,Ark Of Noah","Why is the word ""Ark"" used for Noah's boat and the Ark of the Covenant?",Affable Geek,19
1,2012-03-20T02:17:00,"Bible,Cs Lewis",What does CS Lewis mean by True Myth?,Peter Turner,19
4,2012-04-25T18:11:00,"Life Of Jesus,Soteriology,Judgment","How could a loving, just, merciful God have created such an unfair test for humans?",Jez,19
8,2011-08-24T18:34:00,Miracles,What evidence exists for post-Biblical miracles?,Flimzy,19
12,2011-10-13T21:06:00,"Exegesis,Life Of Jesus,Gospel Of John,Gospels,Words Of Jesus","Why did Jesus use the expression, ""very truly I tell you""?",Reinstate Monica - Goodbye SE,19
5,2011-10-14T14:28:00,"Exegesis,Mosaic Law,Love,Souls,Deuteronomy","The Greatest Commandment - Loving God with all our 1) heart, 2) soul, and 3) strength",Narnian,19
5,2011-10-17T15:01:00,"Exegesis,Protestantism,Baptism,1 Corinthians","How do Protestants interpret ""baptized for the dead"" in 1 Corinthians 15:29?",Click Ok,19
2,2011-10-20T17:23:00,"Catholicism,Bible Translation",Are Catholics allowed to read the NIV translation?,Richard,19
5,2011-08-24T14:39:00,"Exegesis,Sin,Protestantism,Divorce",Under what conditions does the Bible support divorce?,Richard,19
5,2014-09-19T14:27:00,"Islam,Comparative Religion",A Christian view of Mohammad,Hashir Omer,19
5,2014-10-13T16:34:00,"Evangelism,Preaching","What is the scientific effectiveness of ""street preaching"" as a method of evangelization?",Reluctant_Linux_User,19
6,2014-10-17T15:13:00,"Exegesis,Biblical Reliability,Jeremiah",Does Jeremiah 8:8 imply that the scriptures were corrupted?,public static,19
2,2011-08-24T15:54:00,"Catholicism,Religious Practice,Confirmation",What are the steps to become Confirmed in the Catholic church?,DForck42,19
4,2014-12-12T09:21:00,"Biblical Basis,Divorce,Violence,Abusive Relationships",What is the Biblical basis for saying that wives can divorce their physically abusive husbands?,,19
4,2011-08-24T16:52:00,"Bible,Science",What does the Bible say about Science?,,19
2,2015-01-04T13:08:00,"Biblical Basis,Heresy,Arianism",What are the biblical arguments against Arianism?,Ben Mordecai,19
2,2011-10-01T22:48:00,"Catholicism,Tetragrammaton","Why does Vatican require ""Yahweh"" not to be used?",StackExchange saddens dancek,19
1,2015-02-10T12:07:00,"History,Apostles",Where are the tombs of Jesus' original 12 Apostles,onimoni,19
7,2011-08-24T14:22:00,"Origin,Rapture,Premillennialism",How old is the idea of premillenial rapture?,StackExchange saddens dancek,19
3,2011-08-24T14:31:00,"Textual Discrepancies,John The Baptist,Elijah",Was John the Baptist Elijah?,StackExchange saddens dancek,19
5,2011-09-06T07:25:00,"Sin,Sexuality,Adam And Eve,Incest",Is incest a sin?,hippietrail,19
6,2011-09-07T02:08:00,"Exegesis,Sin,Protestantism,1 John","What is ""sin that leads to death"" in 1 John 5:16?",Richard,19
1,2011-09-07T21:17:00,"Church History,Marriage,Church Fathers,Sexuality,Celibacy",Did the Church Fathers advocate celibacy?,DJClayworth,19
4,2011-09-07T22:34:00,"Catholicism,Church History,Reformation,Counter Reformation",What effect did the Reformation have inside the Catholic Church?,Caleb,19
6,2011-09-08T12:46:00,"Bible,Sexuality,Protestantism,Marriage","What are the practical applications of ""two will become one flesh""?",Richard,19
6,2014-02-26T07:10:00,"Exegesis,Gospel Of Matthew",What is the meaning of 'I desire mercy and not sacrifice'?,Parto,19
1,2014-03-02T06:19:00,"Church History,Church Fathers,Original Sin,Augustine",Are there any writings from the church fathers teaching Original Sin before Augustine?,Tony Jays,19
1,2014-03-04T21:43:00,"Church History,Reformation,Augustine,Ecclesiology",What of Augustine's ecclesiology was rejected in the Reformation?,Mr. Bultitude,19
4,2014-05-24T20:53:00,"Catholicism,Ethics,Contraception",Why does Catholic Church (and possibly some other denominations) approve natural family planning and condemn different kinds of contraception?,Dilaron,19
1,2011-09-15T00:36:00,"Angels,Guardian Angels",What is a guardian angel?,a_hardin,19
5,2011-09-18T15:12:00,Culture,Source of Christian attitudes towards fantasy and role playing games,Sean McMillan,19
1,2011-08-24T13:39:00,"Biblical Basis,Reformed Theology,Calvin",What is the Biblical basis for Irresistible Grace?,wax eagle,19
5,2014-07-12T03:39:00,"Soteriology,Church History,Faith,Sola Fide,Augustine",Did Augustine teach sola fide?,Mr. Bultitude,19
3,2011-08-24T01:12:00,Souls,"When are souls ""received""?",El'endia Starman,19
3,2013-10-04T20:34:00,"Life Of Jesus,History,Hymns",Did those feet in ancient time walk upon England's mountains green? (Origin of the story),James T,19
4,2011-08-23T19:37:00,"Biblical Basis,Grace,Arminianism",Where does prevenient grace originate in the Bible?,Patrick,19
3,2011-08-23T22:10:00,"Bible,Translation,Hebrew","The symbolic use of ""horn""",dleyva3,19
4,2011-08-31T02:11:00,"Judaism,Scriptures",Why do most Christians not follow the Talmud?,,19
4,2013-03-01T15:51:00,"Bible,Bible Translation,Jehovahs Witnesses,Nwt",What specific scholarship is there behind the New World Translation?,Narnian,19
3,2013-03-14T18:10:00,"Catholicism,Eastern Orthodox,Idolatry,Iconography",What is the difference between icons and idols in churches that permit icons?,,19
13,2011-08-23T23:37:00,"Sin,Biblical Basis",What is the essence of sin?,Tom Duckering,19
1,2013-05-13T19:02:00,"Biblical Basis,Nature Of God,Heresy,Open Theism",What is the basis of the argument that Open Theism is heretical?,Harry James Fox,19
4,2011-09-01T20:04:00,"Bible,Exegesis",Does the Bible itself give us clues about which parts to interpret literally and which figuratively?,vonjd,19
4,2011-09-02T15:04:00,"Sin,Ten Commandments,Parenting",Should we honor our parents even if it leads us to sin?,a_hardin,19
4,2013-07-30T19:23:00,"Catholicism,Religious Practice,Symbolism,Monasticism",Nuns wearing wedding bands?,Zachary,19
2,2011-09-02T23:48:00,"Biblical Basis,General Revelation",What is the argument and Biblical basis that it is possible to know God from nature?,a_hardin,19
4,2013-09-23T14:01:00,"History,Abraham,Temple,Geography",What evidence is available that Mt. Moriah is actually the Temple Mount?,wax eagle,19
5,2011-09-04T01:31:00,Mysticism,Is Christian mysticism an oxymoron or is it a legitimate path for a Christian?,Ben Richards,19
2,2011-08-30T04:18:00,Leviticus,Wave offering; What exactly was the point?,Phonics The Hedgehog,19
8,2011-08-30T12:56:00,"Biblical Basis,Wealth,Prosperity Gospel",What is the argument *for* prosperity gospel?,StackExchange saddens dancek,19
3,2012-11-08T17:09:00,"Church History,Baptism,Early Church,Religious Practice,Nakedness",Is it true that early Christians were baptised naked?,WalidSaladin,19
7,2020-02-23T14:18:00,"Biblical Basis,Genesis,Marriage,Adam And Eve",Why are Adam and Eve considered married?,Korosia,18
5,2012-06-17T02:08:00,"Protestantism,Bible Translation,Apologetics,Kjv,Kjv Onlyism","Counterarguments to ""KJV-only""?",Jas 3.1,18
4,2012-07-11T11:19:00,"History,Textual Criticism,Pseudepigrapha",What official statements represent Christianity's position on the Gospel of Barnabas?,Caleb,18
5,2012-07-18T04:03:00,"Biblical Basis,Soteriology,Children,Infants","Basis for the concept of an ""Age of accountability""",David Stratton,18
4,2021-09-27T02:41:00,"Soteriology,Hell,Justice,Theodicy,Pagan","According to believers in the inexorable damnation of the unreached, how is God not unfair for letting someone be born in unreachable conditions?",,18
4,2011-08-27T20:53:00,Prayer,Scripted Prayers,Jim McKeeth,18
5,2022-01-26T17:03:00,"Protestantism,Canon,Scriptures,Sola Scriptura","How do Sola Scriptura defenders have a list of ""scripture"" since the list isn't mentioned in scripture?",Luke Hill,18
7,2011-08-28T01:32:00,"Exegesis,Gospel Of John,Words Of Jesus,Translation",Dialog between Jesus and Peter in John 21: what's going on?,,18
5,2011-08-28T02:42:00,"Nature Of God,Free Will",Does God have free will?,Steve Moser,18
8,2022-08-01T13:40:00,"Gospel Of Matthew,Assurance Of Salvation",Is anyone with accumulated wealth saved?,Hal,18
7,2012-08-22T15:01:00,"Bible,Textual Criticism,Biblical Reliability","If the Bible has been changed over the years, can we still trust it?",,18
3,2011-08-23T21:46:00,"New Testament,Tradition",Identity of Christ's Bride,El'endia Starman,19
9,2011-08-26T18:04:00,Non Christians,What is the source of hatred often perceived by Christians in western society?,Phonics The Hedgehog,18
3,2012-04-27T04:19:00,"Catholicism,Apocrypha",Which doctrines are based solely on the Deuterocanonical books?,user16659,18
1,2016-01-22T02:57:00,"Church History,Denomination Survey,Presbyterianism,Schism,Korea",Why did the Presbyterian Church of Korea split in 1959?,Nathaniel is protesting,18
1,2011-11-23T13:17:00,"Lds,Marriage,Afterlife",What does the LDS Church (Mormon) teach about marriage and polygamy in the afterlife?,Narnian,18
3,2011-11-01T14:14:00,"Lds,Archaeology,Book Of Mormon",What is the archaeological evidence for the events in the Book of Mormon?,Narnian,18
1,2011-11-05T17:32:00,"Catholicism,Soteriology",What does the Roman Catholic church teach about those who die having never heard of Christ?,,18
2,2011-12-06T15:36:00,"Lds,Church History,Reference Request,Cain,Racism",What has the LDS Church (Mormons) historically taught about the Curse of Cain and dark skin?,Narnian,18
2,2011-12-20T13:49:00,"Life Of Jesus,Heaven,Afterlife","Will there be ""new people"" or reproduction in heaven or ""the next life?""",Reinstate Monica - Goodbye SE,18
2,2016-08-16T12:08:00,"Church History,Gospel Of John,Gospels,Origin,Resurrection","What is the origin of the idea that Matthew, Mark, and Luke didn't mention Lazarus in order to protect him?",Nathaniel is protesting,18
9,2012-01-25T20:16:00,"Biblical Basis,Worship,Music",What is the biblical basis for the prohibition of instruments in worship?,Narnian,18
1,2017-06-16T20:25:00,"Church History,Prayer,Virgin Mary,Origin,Intercession Of Saints",What is the earliest known instance of a petition directed to Mary?,Nathaniel is protesting,18
4,2011-08-23T20:31:00,"Christmas,Tradition",What is the origin of the Christmas tree and is it accepted in all Christian traditions?,C. Ross,18
2,2017-09-25T03:37:00,"Catholicism,Eastern Orthodox,Church Fathers,Sexuality,Fall Of Man",Why did so many early church fathers say that sex was a consequence of the Fall?,shackra,18
4,2011-08-23T20:41:00,"Bible,Exegesis,Diet",Where does the Bible stand on vegetarianism?,SabbaTh,18
3,2012-03-13T15:30:00,Kjv,Why are some words in the King James Bible written in italics?,Shathur,18
4,2011-10-20T17:26:00,"Sin,Catholicism,Atheism",Do Catholics view atheism as a sin?,Studiosi,18
4,2015-08-28T02:45:00,"Exegesis,Christology,Gospel Of John,Jehovahs Witnesses,Thomas Apostle","How do Jehovah's Witnesses explain Thomas's exclamation, ""My Lord and my God""?",Nathaniel is protesting,18
3,2011-08-24T21:55:00,"Terminology,Sanctification,Word Study","What is the biblical meaning of ""sanctification""?",Ray,18
4,2014-10-16T18:35:00,"Nature Of God,Reformed Theology,Predestination","According to Calvinism, why does God give mercy to some and not to others?",LCIII,18
3,2011-09-26T15:16:00,"Terminology,Inerrancy,Infallibility","What is the difference between ""infallible"" and ""inerrant""?",warren,18
2,2011-08-24T16:30:00,"Translation,Catholicism,Nicene Creed",What is the distinction between Consubstantial and One in Being?,Peter Turner,18
5,2011-09-28T16:42:00,"Catholicism,Protestantism,Terminology,Clergy,Priests",Why does Catholicism have priests but Protestantism does not?,zipquincy,18
6,2011-10-04T19:55:00,"Original Sin,Original Sin,Adam","How is it that someone who lived thousands of years ago can ""represent"" me?",Caleb,18
5,2011-10-08T09:28:00,"Christian Living,Freemasonry",How is Freemasonry related to Christianity?,StackExchange saddens dancek,18
2,2011-10-08T19:41:00,"Lds,Freemasonry",What's the Mormon view of Freemasonry?,StackExchange saddens dancek,18
1,2015-04-12T21:51:00,"Church History,Islam,John Of Damascus",How did St John of Damascus view Islam?,Beth,18
1,2015-05-04T19:51:00,Trinity,What was Isaac Newton's view of the Trinity?,Daniel-Lindsay Kusk,18
1,2015-06-08T07:35:00,"Lds,Canon",How does the LDS Church decide what is included in their scriptural canon?,Samuel Bradshaw,18
6,2011-10-14T15:05:00,"Life Of Jesus,Gospel Of John,Pharisees",What was the specific trap being set for Jesus by the Pharisees in John 8?,Narnian,18
2,2015-06-18T07:34:00,"Eschatology,Prophecy,Jehovahs Witnesses,Deuteronomy",How do Jehovah's Witnesses respond to the charge that they are false prophets (because their end-of-the-world predictions didn't come true)?,,18
1,2011-09-20T22:34:00,"Soteriology,Reformed Theology,Perseverance Of Saints","What is the difference between the doctrines of ""Perseverance of the Saints"" and ""Eternal Security?""",Flimzy,18
3,2011-09-21T19:10:00,Science,Are there any statistics that show how many scientists are Christians or otherwise believe in a personal God?,stoicfury,18
8,2014-09-01T22:02:00,"Catholicism,Adam And Eve,Original Sin,Evolution",How does the Catholic Church reconcile evolution with original sin?,giucal,18
1,2014-10-09T16:25:00,"Canon,Heresy,Apocrypha,Gnosticism,Gospel Of Thomas",Why is the Gospel of Thomas considered heretical by Nicene Christians?,Reluctant_Linux_User,18
2,2011-09-06T14:35:00,Gospels,"When and how did the names Matthew, Mark, Luke, and John get attached to the gospels?",Bruce Alderman,18
3,2011-09-07T02:58:00,"Bible,Bible Translation,Septuagint",Can we trust the Septuagint?,Richard,18
7,2011-09-07T14:53:00,"Exegesis,Prophets,Deuteronomy",Who is the prophet Moses mentioned in Deuteronomy 18:15?,Pacerier,18
8,2013-11-16T10:52:00,"Exegesis,1 Corinthians",What are the 'Scriptures' mentioned in 1 Corinthians 15?,gideon marx,18
10,2011-09-09T00:22:00,"Sin,Life Of Jesus",Would it have been possible for Jesus to sin?,Flimzy,18
5,2011-09-09T22:17:00,"Life Of Jesus,Crucifixion","""Let this cup pass from me"" - What is the cup?",Brian Koser,18
3,2014-02-13T13:24:00,"History,Apologetics,Dead Sea Scrolls",How do the Dead Sea Scrolls impact modern apologetics?,Resting in Shade,18
6,2014-02-24T14:54:00,"Exegesis,Trinity,Christology,Gospel Of John",How do Trinitarians explain verses where Jesus claims to have a God?,user1361315,18
3,2011-09-12T20:29:00,"Catholicism,Communion,Transubstantiation",What is transubstantiation?,Sklivvz,18
2,2011-09-17T19:06:00,"Catholicism,Ex Cathedra,Papal Infallibility",List of papal teachings considered infallible,,18
7,2014-07-08T12:17:00,"Terminology,Origin,Sinners Prayer","Where did the idiom ""asking Jesus into your heart"" come from?",LCIII,18
10,2013-09-30T01:16:00,"Exegesis,Trinity,Christology,Revelation,Special Revelation",How do Trinitarians answer the implications of Revelation 1:1?,,18
11,2011-09-04T17:03:00,Christian Living,Is it hypocritical to be a Christian and also be against welfare?,Derek Downey,18
4,2013-10-16T21:05:00,"Catholicism,Life Of Jesus,Adam And Eve,Free Will,Incarnation",Does Catholic doctrine teach that the Incarnation would have taken place regardless of Adam's decision?,,18
5,2013-03-29T03:02:00,"History,Judaism",At what point did Judaism and Christianity diverge?,CuriousMind,18
7,2013-04-01T06:14:00,"Soteriology,Hell,Words Of Jesus,Belief","Did Jesus actually ever say ""if you don't believe in me you will go to hell""?",Greg McNulty,18
5,2013-04-17T13:15:00,"Catholicism,Virgin Mary,Perpetual Virginity","When did Mary and Joseph learn that they were never supposed to have marital relations, according to Roman Catholic doctrine?",Narnian,18
1,2011-09-01T09:05:00,"Catholicism,Soteriology,Afterlife",What does the Catholic church teach about fate of non-Catholic christians?,2tim424,18
1,2013-06-17T18:57:00,"Catholicism,Burial",What should I expect at a Roman Catholic funeral?,Monica Cellio,18
2,2013-06-21T02:47:00,"Nature Of God,Nature Of Man,Word Of Faith","What is the Word of Faith teaching on ""little gods""",David Stratton,18
5,2011-09-01T21:07:00,"Biblical Basis,Sin,Music",What is the basis for saying rock music is sinful?,Kramii,18
5,2013-06-24T01:16:00,"Exegesis,Mosaic Law,Leviticus,Abortion",Does Numbers 5:11-22 describe sanctioned abortion?,aceinthehole,18
3,2011-09-02T01:47:00,"Sodom,Ezekiel",Why were Sodom and Gomorrah destroyed?,aceinthehole,18
5,2013-07-18T03:38:00,"Life Of Jesus,Prophecy,Isaiah,Names Of God",If Jesus was Emmanuel why was he named Yeshua?,Albert,18
6,2011-09-02T13:29:00,"Mosaic Law,Bible Translation,Exodus,Ethics,Witchcraft",Do not allow a sorceress/witch to live?,Jenny Thomson,18
4,2013-07-25T18:27:00,"Nature Of God,Church History,Trinity,Heresy",Is Partialism a real heresy?,svidgen,18
4,2013-02-17T04:32:00,"Catholicism,Communion,Mass,Transubstantiation",When does the bread and wine become Body and Blood?,Alypius,18
3,2013-02-25T13:56:00,"Mosaic Law,Deuteronomy",Why does God command the Israelites not to boil a goat in its mother's milk?,Paddington,18
1,2012-11-11T22:57:00,"History,Worship,Music,Medieval Church,Waldensians",Are there any surviving hymns from the Valdensian movement?,itpastorn,18
4,2011-08-23T22:06:00,"Exegesis,Nature Of God,Love,Psalms,Hate",Does God hate Sinners like he hates Sin?,capitalaudience.com,18
5,2012-12-06T00:41:00,"Bible,Versification",Are chapter and verse divisions international?,citizen,18
2,2011-08-30T22:31:00,"Biblical Basis,Sin,Christian Living,Money,Nehemiah",Why do some Christians think it's not a sin to charge interest?,TRiG,18
8,2011-08-29T23:08:00,"Faith,Church Local",Do I have to attend church every Sunday?,,18
9,2011-08-30T05:04:00,Early Church,For how long did the early Christians share all their possessions?,Bruce Alderman,18
5,2011-08-30T10:41:00,Soteriology,Is it possible to be a Christian by birth?,Caleb,18
3,2011-08-30T14:29:00,"Bible,History,Canon",How long did it take to form the Biblical canon?,DForck42,18
5,2011-08-30T23:54:00,"Soteriology,Sin,Forgiveness,Unforgivable Sin",Are there unforgivable sins?,Derek Downey,18
4,2013-01-07T23:15:00,"Gospels,Gospel Of Luke,Gospel Of Mark,Thief On The Cross","Why were both criminals that were crucified with Jesus abusing him in Mark, and not in Luke?",aceinthehole,18
6,2011-08-31T03:41:00,"Faith,Terminology","What is ""faith?""",Flimzy,18
4,2013-01-23T12:11:00,"Gospel Of John,Words Of Jesus,Resurrection Of Jesus,Thomas Apostle,Mary Magdalene","Why did Jesus say, ""Do not touch me""?",Paddington,18
5,2013-02-12T22:09:00,"Crucifixion,Extra Biblical,Resurrection Of Jesus",Are there any secular historical references to the natural phenomena that occurred at the crucifixion and resurrection?,Narnian,18
3,2012-09-05T18:41:00,"History,Lds,Symbolism,Temple",What is the significance of the inverted pentagram symbols on the LDS Temple in Salt Lake City?,Narnian,17
4,2011-08-29T15:16:00,"Ethics,Politics,Golden Rule,Personalism,Libertarianism","According to personalism, is political libertarianism compatible with the Golden Rule?",Peter Turner,18
6,2020-07-08T09:18:00,"Biblical Basis,Religious Practice,Music,Hymns,Practice",Why do Christians stand when we sing?,Korosia,17
5,2020-09-08T15:52:00,"Exegesis,Trinity,Resurrection Of Jesus","Who resurrected Jesus - the Father, the Son, or the Holy Spirit?",Lesley,17
